user_number,session_group,trialIndex,tubeTypeIndex,tip_direction,face_id,faceSide,towards_away,raw_angle,angle,latency,valid,sightType
11,AT004,2,2,left,ID015,right,away,-17,17,1424,True,sighted
11,AT004,3,1,right,ID015,right,towards,22,22,1880,True,sighted
11,AT004,4,2,right,ID017,left,away,23,23,1928,True,sighted
11,AT004,5,0,right,ID015,left,away,27,27,1759,True,sighted
11,AT004,6,3,left,ID017,left,towards,-21,21,1784,True,sighted
11,AT004,7,1,left,ID015,right,away,-29,29,1896,True,sighted
11,AT004,8,2,left,ID015,left,towards,-27,27,1792,True,sighted
11,AT004,9,3,left,ID015,left,towards,-25,25,1848,True,sighted
11,AT004,10,3,left,ID017,right,away,-27,27,2439,True,sighted
11,AT004,11,0,right,ID015,right,towards,18,18,3881,True,sighted
11,AT004,12,2,right,ID015,left,away,25,25,1808,True,sighted
11,AT004,13,3,right,ID017,right,towards,22,22,1759,True,sighted
11,AT004,14,0,right,ID017,right,towards,25,25,1888,True,sighted
11,AT004,15,2,right,ID017,right,towards,26,26,1912,True,sighted
11,AT004,16,3,left,ID015,right,away,-27,27,1808,True,sighted
11,AT004,17,1,right,ID017,right,towards,32,32,2743,True,sighted
11,AT004,18,1,left,ID015,left,towards,-23,23,1775,True,sighted
11,AT004,19,3,right,ID015,right,towards,25,25,1737,True,sighted
11,AT004,20,3,right,ID017,left,away,26,26,1935,True,sighted
11,AT004,21,1,right,ID015,left,away,29,29,2432,True,sighted
11,AT004,22,3,right,ID015,left,away,35,35,2559,True,sighted
11,AT004,23,1,left,ID017,left,towards,-28,28,1920,True,sighted
11,AT004,24,0,left,ID017,right,away,-22,22,1784,True,sighted
11,AT004,25,2,left,ID017,right,away,-21,21,1616,True,sighted
11,AT004,26,2,right,ID015,right,towards,34,34,2416,True,sighted
11,AT004,27,2,left,ID017,left,towards,-18,18,1767,True,sighted
11,AT004,28,1,left,ID017,right,away,-20,20,1551,True,sighted
11,AT004,29,0,left,ID015,right,away,-24,24,1655,True,sighted
11,AT004,30,0,right,ID017,left,away,24,24,2287,True,sighted
11,AT004,31,1,right,ID017,left,away,20,20,1641,True,sighted
12,AT004,0,3,right,ID017,left,away,51,51,120690,False,sighted
12,AT004,1,3,left,ID015,right,away,-58,58,8007,False,sighted
12,AT004,2,0,left,ID017,left,towards,-15,15,8367,True,sighted
12,AT004,3,2,left,ID017,right,away,-21,21,4559,True,sighted
12,AT004,4,1,right,ID017,right,towards,30,30,4136,True,sighted
12,AT004,5,2,right,ID017,left,away,20,20,6031,True,sighted
12,AT004,6,0,right,ID017,left,away,9,9,4559,True,sighted
12,AT004,7,3,left,ID015,left,towards,-57,57,4767,False,sighted
12,AT004,8,3,right,ID017,right,towards,52,52,6909,False,sighted
12,AT004,9,2,right,ID015,right,towards,17,17,4375,True,sighted
12,AT004,10,1,left,ID015,left,towards,-26,26,5231,True,sighted
12,AT004,11,3,right,ID015,right,towards,59,59,4504,False,sighted
12,AT004,12,2,right,ID015,left,away,22,22,32951,True,sighted
12,AT004,13,1,right,ID015,right,towards,29,29,3951,True,sighted
12,AT004,14,0,left,ID017,right,away,-10,10,3415,True,sighted
12,AT004,15,0,right,ID017,right,towards,13,13,2849,True,sighted
12,AT004,16,0,left,ID015,left,towards,-11,11,3576,True,sighted
12,AT004,17,1,left,ID017,left,towards,-33,33,3600,True,sighted
12,AT004,18,1,left,ID015,right,away,-41,41,2936,False,sighted
12,AT004,19,1,right,ID015,left,away,33,33,3960,True,sighted
12,AT004,20,3,left,ID017,right,away,-54,54,4416,False,sighted
12,AT004,21,3,right,ID015,left,away,51,51,2872,False,sighted
12,AT004,22,2,right,ID017,right,towards,21,21,2304,True,sighted
12,AT004,23,2,left,ID015,right,away,-29,29,3056,True,sighted
12,AT004,24,0,right,ID015,left,away,7,7,3639,True,sighted
12,AT004,25,1,left,ID017,right,away,-29,29,3103,True,sighted
12,AT004,26,2,left,ID015,left,towards,-37,37,3119,True,sighted
12,AT004,27,0,left,ID015,right,away,-10,10,4519,True,sighted
12,AT004,28,0,right,ID015,right,towards,11,11,2607,True,sighted
12,AT004,29,3,left,ID017,left,towards,-55,55,4383,False,sighted
12,AT004,30,1,right,ID017,left,away,33,33,2495,True,sighted
12,AT004,31,2,left,ID017,left,towards,-31,31,3671,True,sighted
13,AT004,0,3,right,ID015,left,away,0,0,285576,False,sighted
13,AT004,1,3,left,ID015,right,away,-13,13,17925,True,sighted
13,AT004,2,0,left,ID017,right,away,-14,14,12413,True,sighted
13,AT004,3,0,right,ID017,left,away,7,7,4429,True,sighted
13,AT004,4,2,right,ID015,right,towards,-7,7,4498,True,sighted
13,AT004,5,1,right,ID015,left,away,7,7,2773,True,sighted
13,AT004,6,0,left,ID015,left,towards,-6,6,4004,True,sighted
13,AT004,7,3,right,ID017,left,away,8,8,3979,True,sighted
13,AT004,8,2,left,ID017,left,towards,-6,6,2113,True,sighted
13,AT004,9,2,right,ID015,left,away,7,7,2356,True,sighted
13,AT004,10,1,right,ID017,right,towards,6,6,2791,True,sighted
13,AT004,11,2,right,ID017,right,towards,6,6,3621,True,sighted
13,AT004,12,1,left,ID017,left,towards,-9,9,7257,True,sighted
