user_number,face_id,tubeTypeIndex,pair_type,d
43,ID017,2,FaceLeft,1
43,ID017,2,FaceRight,7
43,ID015,2,FaceLeft,6
43,ID015,2,FaceRight,0
43,ID015,0,FaceLeft,0
43,ID015,0,FaceRight,2
43,ID015,3,FaceLeft,4
43,ID015,3,FaceRight,0
43,ID015,1,FaceLeft,9
43,ID015,1,FaceRight,5
44,ID015,0,FaceLeft,4
44,ID015,0,FaceRight,0
44,ID015,1,FaceLeft,2
44,ID015,1,FaceRight,5
44,ID015,2,FaceLeft,4
44,ID015,2,FaceRight,1
44,ID015,3,FaceLeft,2
44,ID015,3,FaceRight,5
44,ID017,3,FaceLeft,3
44,ID017,3,FaceRight,3
44,ID017,0,FaceLeft,1
44,ID017,0,FaceRight,3
44,ID017,2,FaceLeft,5
44,ID017,2,FaceRight,1
44,ID017,1,FaceLeft,2
44,ID017,1,FaceRight,8
47,ID015,0,FaceLeft,8
47,ID015,0,FaceRight,1
47,ID015,1,FaceLeft,3
47,ID015,1,FaceRight,8
47,ID015,3,FaceLeft,3
47,ID015,3,FaceRight,8
47,ID015,2,FaceLeft,5
47,ID015,2,FaceRight,0
47,ID017,3,FaceLeft,10
47,ID017,3,FaceRight,6
47,ID017,1,FaceLeft,10
47,ID017,1,FaceRight,1
47,ID017,2,FaceLeft,12
47,ID017,2,FaceRight,8
47,ID017,0,FaceLeft,7
47,ID017,0,FaceRight,6
48,ID015,2,FaceLeft,5
48,ID015,2,FaceRight,2
48,ID015,0,FaceLeft,2
48,ID015,0,FaceRight,0
48,ID015,3,FaceRight,5
48,ID015,1,FaceLeft,2
48,ID015,1,FaceRight,1
48,ID017,3,FaceLeft,1
48,ID017,3,FaceRight,2
48,ID017,0,FaceLeft,3
48,ID017,0,FaceRight,0
48,ID017,2,FaceLeft,4
48,ID017,2,FaceRight,0
48,ID017,1,FaceLeft,1
48,ID017,1,FaceRight,0
50,ID017,3,FaceRight,15
50,ID017,2,FaceLeft,2
50,ID017,2,FaceRight,7
50,ID017,1,FaceLeft,9
50,ID017,1,FaceRight,12
50,ID017,0,FaceLeft,2
50,ID017,0,FaceRight,0
50,ID015,0,FaceLeft,8
50,ID015,0,FaceRight,0
50,ID015,1,FaceLeft,8
50,ID015,1,FaceRight,5
50,ID015,3,FaceLeft,4
50,ID015,3,FaceRight,8
50,ID015,2,FaceLeft,2
50,ID015,2,FaceRight,4
51,ID017,2,FaceLeft,2
51,ID017,2,FaceRight,1
51,ID017,0,FaceLeft,7
51,ID017,0,FaceRight,6
51,ID017,3,FaceLeft,4
51,ID017,3,FaceRight,5
51,ID017,1,FaceLeft,3
51,ID017,1,FaceRight,1
51,ID015,0,FaceLeft,4
51,ID015,0,FaceRight,0
51,ID015,3,FaceLeft,3
51,ID015,3,FaceRight,5
51,ID015,2,FaceLeft,0
51,ID015,2,FaceRight,1
51,ID015,1,FaceLeft,0
51,ID015,1,FaceRight,0
55,ID017,1,FaceLeft,7
55,ID017,1,FaceRight,6
55,ID017,0,FaceLeft,6
55,ID017,0,FaceRight,7
55,ID017,2,FaceLeft,5
55,ID017,2,FaceRight,13
55,ID017,3,FaceLeft,5
55,ID017,3,FaceRight,3
55,ID015,0,FaceLeft,1
55,ID015,0,FaceRight,5
55,ID015,1,FaceLeft,3
55,ID015,1,FaceRight,22
55,ID015,2,FaceLeft,1
55,ID015,2,FaceRight,1
55,ID015,3,FaceLeft,9
55,ID015,3,FaceRight,6
56,ID015,2,FaceLeft,0
56,ID015,2,FaceRight,1
56,ID015,1,FaceLeft,3
56,ID015,1,FaceRight,7
56,ID015,0,FaceLeft,2
56,ID015,0,FaceRight,2
56,ID015,3,FaceLeft,3
56,ID015,3,FaceRight,3
56,ID017,2,FaceLeft,1
56,ID017,2,FaceRight,2
56,ID017,0,FaceLeft,2
56,ID017,0,FaceRight,0
56,ID017,3,FaceLeft,0
56,ID017,3,FaceRight,2
56,ID017,1,FaceLeft,1
56,ID017,1,FaceRight,1
58,ID015,3,FaceLeft,18
58,ID015,3,FaceRight,7
58,ID015,0,FaceLeft,4
58,ID015,0,FaceRight,2
58,ID015,1,FaceLeft,0
58,ID015,1,FaceRight,12
58,ID015,2,FaceLeft,2
58,ID015,2,FaceRight,4
58,ID017,0,FaceLeft,5
58,ID017,0,FaceRight,1
58,ID017,2,FaceLeft,3
58,ID017,2,FaceRight,0
58,ID017,1,FaceLeft,1
58,ID017,1,FaceRight,2
58,ID017,3,FaceLeft,8
58,ID017,3,FaceRight,3
61,ID017,0,FaceLeft,9
61,ID017,0,FaceRight,3
61,ID017,1,FaceLeft,5
61,ID017,1,FaceRight,1
61,ID017,2,FaceLeft,10
61,ID017,2,FaceRight,2
61,ID017,3,FaceRight,2
61,ID015,0,FaceLeft,5
61,ID015,0,FaceRight,1
61,ID015,2,FaceLeft,15
61,ID015,2,FaceRight,3
61,ID015,3,FaceLeft,17
61,ID015,3,FaceRight,6
61,ID015,1,FaceLeft,6
61,ID015,1,FaceRight,2
65,ID015,0,FaceLeft,1
65,ID015,0,FaceRight,1
65,ID015,1,FaceLeft,6
65,ID015,1,FaceRight,3
65,ID015,2,FaceLeft,8
65,ID015,2,FaceRight,4
65,ID015,3,FaceLeft,1
65,ID017,0,FaceLeft,2
65,ID017,0,FaceRight,2
65,ID017,1,FaceLeft,4
65,ID017,1,FaceRight,3
65,ID017,2,FaceLeft,3
65,ID017,2,FaceRight,5
65,ID017,3,FaceLeft,3
65,ID017,3,FaceRight,1
72,ID017,1,FaceLeft,6
72,ID017,1,FaceRight,6
72,ID017,2,FaceLeft,4
72,ID017,2,FaceRight,4
72,ID017,0,FaceLeft,9
72,ID017,0,FaceRight,3
72,ID017,3,FaceRight,5
72,ID015,2,FaceLeft,0
72,ID015,2,FaceRight,1
72,ID015,0,FaceLeft,5
72,ID015,0,FaceRight,6
72,ID015,1,FaceRight,10
72,ID015,3,FaceLeft,9
72,ID015,3,FaceRight,8
76,ID015,0,FaceLeft,5
76,ID015,0,FaceRight,9
76,ID015,2,FaceLeft,6
76,ID015,2,FaceRight,3
76,ID015,1,FaceLeft,19
76,ID015,1,FaceRight,7
76,ID015,3,FaceLeft,2
76,ID015,3,FaceRight,11
76,ID017,0,FaceLeft,7
76,ID017,0,FaceRight,2
76,ID017,3,FaceLeft,13
76,ID017,3,FaceRight,12
76,ID017,1,FaceLeft,10
76,ID017,1,FaceRight,8
76,ID017,2,FaceLeft,4
76,ID017,2,FaceRight,1
78,ID015,0,FaceLeft,9
78,ID015,0,FaceRight,1
78,ID015,3,FaceLeft,1
78,ID015,3,FaceRight,1
78,ID015,2,FaceLeft,2
78,ID015,1,FaceLeft,0
78,ID015,1,FaceRight,1
78,ID017,0,FaceLeft,2
78,ID017,0,FaceRight,1
78,ID017,1,FaceLeft,2
78,ID017,1,FaceRight,1
78,ID017,3,FaceRight,2
78,ID017,2,FaceLeft,2
78,ID017,2,FaceRight,3
81,ID017,0,FaceLeft,3
81,ID017,0,FaceRight,2
81,ID017,1,FaceLeft,3
81,ID017,1,FaceRight,1
81,ID017,2,FaceLeft,11
81,ID017,2,FaceRight,0
81,ID017,3,FaceLeft,3
81,ID017,3,FaceRight,9
81,ID015,0,FaceLeft,4
81,ID015,0,FaceRight,4
81,ID015,1,FaceLeft,1
81,ID015,1,FaceRight,1
81,ID015,2,FaceLeft,8
81,ID015,2,FaceRight,10
81,ID015,3,FaceRight,3
84,ID015,0,FaceLeft,4
84,ID015,0,FaceRight,3
84,ID015,2,FaceLeft,5
84,ID015,2,FaceRight,9
84,ID015,1,FaceLeft,9
84,ID015,1,FaceRight,5
84,ID015,3,FaceLeft,2
84,ID015,3,FaceRight,1
84,ID017,0,FaceLeft,6
84,ID017,0,FaceRight,7
84,ID017,2,FaceLeft,6
84,ID017,2,FaceRight,5
84,ID017,1,FaceLeft,2
84,ID017,1,FaceRight,7
84,ID017,3,FaceLeft,9
84,ID017,3,FaceRight,14
87,ID015,3,FaceLeft,1
87,ID015,3,FaceRight,3
87,ID015,0,FaceLeft,0
87,ID015,0,FaceRight,6
87,ID015,1,FaceLeft,13
87,ID015,1,FaceRight,5
87,ID015,2,FaceLeft,11
87,ID015,2,FaceRight,4
87,ID017,3,FaceLeft,4
87,ID017,0,FaceLeft,5
87,ID017,0,FaceRight,3
87,ID017,2,FaceLeft,7
87,ID017,2,FaceRight,4
87,ID017,1,FaceLeft,4
87,ID017,1,FaceRight,3
88,ID017,0,FaceLeft,7
88,ID017,0,FaceRight,1
88,ID017,3,FaceLeft,2
88,ID017,3,FaceRight,0
88,ID017,1,FaceRight,9
88,ID017,2,FaceLeft,0
88,ID017,2,FaceRight,0
88,ID015,1,FaceLeft,1
88,ID015,1,FaceRight,18
88,ID015,3,FaceLeft,5
88,ID015,3,FaceRight,15
88,ID015,0,FaceLeft,13
88,ID015,0,FaceRight,2
88,ID015,2,FaceRight,6
90,ID015,1,FaceLeft,1
90,ID015,1,FaceRight,20
90,ID015,0,FaceLeft,7
90,ID015,0,FaceRight,3
90,ID015,3,FaceLeft,2
90,ID015,3,FaceRight,0
90,ID015,2,FaceLeft,14
90,ID015,2,FaceRight,2
90,ID017,0,FaceLeft,1
90,ID017,0,FaceRight,6
90,ID017,2,FaceLeft,5
90,ID017,2,FaceRight,9
90,ID017,1,FaceLeft,14
90,ID017,1,FaceRight,12
90,ID017,3,FaceLeft,5
90,ID017,3,FaceRight,1
92,ID015,2,FaceLeft,0
92,ID015,2,FaceRight,4
92,ID015,0,FaceLeft,10
92,ID015,0,FaceRight,7
92,ID015,3,FaceLeft,2
92,ID015,3,FaceRight,0
92,ID015,1,FaceLeft,1
92,ID017,0,FaceLeft,2
92,ID017,0,FaceRight,7
92,ID017,2,FaceLeft,4
92,ID017,2,FaceRight,6
92,ID017,3,FaceLeft,3
92,ID017,3,FaceRight,2
92,ID017,1,FaceLeft,2
92,ID017,1,FaceRight,2
95,ID017,2,FaceLeft,12
95,ID017,2,FaceRight,7
95,ID017,3,FaceLeft,18
95,ID017,0,FaceLeft,6
95,ID017,0,FaceRight,3
95,ID017,1,FaceLeft,15
95,ID017,1,FaceRight,21
95,ID015,1,FaceLeft,13
95,ID015,1,FaceRight,9
95,ID015,3,FaceLeft,16
95,ID015,3,FaceRight,14
95,ID015,0,FaceLeft,1
95,ID015,0,FaceRight,3
95,ID015,2,FaceLeft,15
95,ID015,2,FaceRight,3
99,ID017,2,FaceLeft,13
99,ID017,2,FaceRight,1
99,ID017,0,FaceRight,5
99,ID017,3,FaceLeft,4
99,ID017,3,FaceRight,1
99,ID017,1,FaceLeft,7
99,ID017,1,FaceRight,19
99,ID015,3,FaceLeft,14
99,ID015,3,FaceRight,1
99,ID015,0,FaceLeft,9
99,ID015,0,FaceRight,8
99,ID015,2,FaceLeft,1
99,ID015,2,FaceRight,5
99,ID015,1,FaceLeft,8
99,ID015,1,FaceRight,1
101,ID015,3,FaceLeft,2
101,ID015,3,FaceRight,0
101,ID015,0,FaceLeft,1
101,ID015,0,FaceRight,1
101,ID015,2,FaceLeft,3
101,ID015,2,FaceRight,2
101,ID015,1,FaceLeft,2
101,ID015,1,FaceRight,0
101,ID017,2,FaceLeft,6
101,ID017,2,FaceRight,1
101,ID017,1,FaceLeft,2
101,ID017,1,FaceRight,4
101,ID017,3,FaceLeft,6
101,ID017,3,FaceRight,2
101,ID017,0,FaceLeft,0
101,ID017,0,FaceRight,1
104,ID017,2,FaceLeft,4
104,ID017,2,FaceRight,1
104,ID017,0,FaceLeft,0
104,ID017,0,FaceRight,2
104,ID017,1,FaceLeft,2
104,ID017,1,FaceRight,4
104,ID017,3,FaceLeft,9
104,ID017,3,FaceRight,0
104,ID015,2,FaceLeft,1
104,ID015,2,FaceRight,1
104,ID015,0,FaceLeft,0
104,ID015,0,FaceRight,1
104,ID015,1,FaceLeft,5
104,ID015,1,FaceRight,0
104,ID015,3,FaceLeft,1
104,ID015,3,FaceRight,3
107,ID015,2,FaceLeft,1
107,ID015,2,FaceRight,1
107,ID015,3,FaceLeft,4
107,ID015,3,FaceRight,0
107,ID015,0,FaceLeft,0
107,ID015,0,FaceRight,3
107,ID015,1,FaceLeft,0
107,ID015,1,FaceRight,6
107,ID017,3,FaceLeft,0
107,ID017,3,FaceRight,0
107,ID017,0,FaceLeft,0
107,ID017,0,FaceRight,1
107,ID017,2,FaceLeft,2
107,ID017,2,FaceRight,0
107,ID017,1,FaceLeft,4
107,ID017,1,FaceRight,2
108,ID015,0,FaceLeft,1
108,ID015,0,FaceRight,0
108,ID015,1,FaceLeft,3
108,ID015,1,FaceRight,1
108,ID015,2,FaceLeft,4
108,ID015,2,FaceRight,1
108,ID015,3,FaceLeft,10
108,ID015,3,FaceRight,2
108,ID017,0,FaceLeft,1
108,ID017,0,FaceRight,5
108,ID017,1,FaceLeft,0
108,ID017,1,FaceRight,4
108,ID017,2,FaceLeft,1
108,ID017,2,FaceRight,5
108,ID017,3,FaceLeft,5
108,ID017,3,FaceRight,2
109,ID017,0,FaceLeft,1
109,ID017,0,FaceRight,6
109,ID017,1,FaceLeft,1
109,ID017,1,FaceRight,10
109,ID017,3,FaceLeft,13
109,ID017,3,FaceRight,9
109,ID017,2,FaceLeft,5
109,ID017,2,FaceRight,6
109,ID015,3,FaceLeft,14
109,ID015,3,FaceRight,3
109,ID015,0,FaceLeft,2
109,ID015,0,FaceRight,1
109,ID015,2,FaceLeft,2
109,ID015,2,FaceRight,1
109,ID015,1,FaceLeft,12
109,ID015,1,FaceRight,10
110,ID017,3,FaceLeft,5
110,ID017,3,FaceRight,2
110,ID017,0,FaceLeft,13
110,ID017,0,FaceRight,2
110,ID017,1,FaceLeft,0
110,ID017,1,FaceRight,1
110,ID017,2,FaceLeft,2
110,ID017,2,FaceRight,0
110,ID015,1,FaceLeft,4
