user_number,session_group,trialIndex,tubeTypeIndex,tip_direction,face_id,faceSide,towards_away,raw_angle,latency
9,AT004,21,2,left,ID001,right,away,-9,2863
9,AT004,22,2,left,ID022,left,towards,-14,3520
9,AT004,23,3,left,ID001,left,towards,-20,2879
9,AT004,24,3,right,ID001,right,towards,18,2736
9,AT004,25,1,left,ID001,right,away,-22,2515
9,AT004,26,3,right,ID001,left,away,22,2925
9,AT004,27,1,right,ID022,right,towards,23,6591
9,AT004,28,2,left,ID001,left,towards,-12,3584
9,AT004,29,1,right,ID001,right,towards,23,2511
9,AT004,30,0,left,ID022,right,away,-11,3538
9,AT004,31,0,right,ID022,right,towards,7,1787
10,AT004,0,0,right,ID001,left,away,7,117435
10,AT004,1,0,left,ID022,right,away,-7,5760
10,AT004,2,2,right,ID022,right,towards,6,12097
10,AT004,3,2,left,ID022,right,away,-6,3887
10,AT004,4,3,left,ID001,right,away,-12,7840
10,AT004,5,0,right,ID022,left,away,6,6143
10,AT004,6,1,right,ID022,left,away,14,8449
10,AT004,7,1,left,ID022,left,towards,-14,6080
10,AT004,8,2,left,ID022,left,towards,-8,5488
10,AT004,9,0,right,ID022,right,towards,8,6381
10,AT004,10,1,right,ID022,right,towards,12,13008
10,AT004,11,2,right,ID001,left,away,8,6944
10,AT004,12,3,left,ID001,left,towards,-18,5296
10,AT004,13,0,left,ID001,right,away,-6,20336
10,AT004,14,1,right,ID001,right,towards,10,5009
10,AT004,15,2,right,ID022,left,away,7,4624
10,AT004,16,1,left,ID001,left,towards,-10,5118
10,AT004,17,3,right,ID001,right,towards,17,7024
10,AT004,18,2,right,ID001,right,towards,-8,4144
10,AT004,19,0,left,ID022,left,towards,-7,4143
10,AT004,20,1,right,ID001,left,away,10,4368
10,AT004,21,2,left,ID001,left,towards,-8,3808
10,AT004,22,1,left,ID001,right,away,-13,6160
10,AT004,23,3,right,ID022,right,towards,14,7200
10,AT004,24,3,left,ID022,left,towards,-11,14368
10,AT004,25,0,left,ID001,left,towards,-8,8526
10,AT004,26,3,left,ID022,right,away,-13,11999
10,AT004,27,2,left,ID001,right,away,-9,4128
10,AT004,28,0,right,ID001,right,towards,-8,3248
10,AT004,29,3,right,ID001,left,away,15,43375
10,AT004,30,3,right,ID022,left,away,18,8367
10,AT004,31,1,left,ID022,right,away,-13,34593
11,AT004,0,0,left,ID001,left,towards,-18,7709
11,AT004,1,0,left,ID022,left,towards,-19,1952
11,AT004,2,2,left,ID022,right,away,-17,1424
11,AT004,3,1,right,ID022,right,towards,22,1880
11,AT004,4,2,right,ID001,left,away,23,1928
11,AT004,5,0,right,ID022,left,away,27,1759
11,AT004,6,3,left,ID001,left,towards,-21,1784
11,AT004,7,1,left,ID022,right,away,-29,1896
11,AT004,8,2,left,ID022,left,towards,-27,1792
11,AT004,9,3,left,ID022,left,towards,-25,1848
11,AT004,10,3,left,ID001,right,away,-27,2439
11,AT004,11,0,right,ID022,right,towards,18,3881
11,AT004,12,2,right,ID022,left,away,25,1808
11,AT004,13,3,right,ID001,right,towards,22,1759
11,AT004,14,0,right,ID001,right,towards,25,1888
11,AT004,15,2,right,ID001,right,towards,26,1912
11,AT004,16,3,left,ID022,right,away,-27,1808
11,AT004,17,1,right,ID001,right,towards,32,2743
11,AT004,18,1,left,ID022,left,towards,-23,1775
11,AT004,19,3,right,ID022,right,towards,25,1737
11,AT004,20,3,right,ID001,left,away,26,1935
11,AT004,21,1,right,ID022,left,away,29,2432
11,AT004,22,3,right,ID022,left,away,35,2559
11,AT004,23,1,left,ID001,left,towards,-28,1920
11,AT004,24,0,left,ID001,right,away,-22,1784
11,AT004,25,2,left,ID001,right,away,-21,1616
11,AT004,26,2,right,ID022,right,towards,34,2416
11,AT004,27,2,left,ID001,left,towards,-18,1767
11,AT004,28,1,left,ID001,right,away,-20,1551
11,AT004,29,0,left,ID022,right,away,-24,1655
11,AT004,30,0,right,ID001,left,away,24,2287
11,AT004,31,1,right,ID001,left,away,20,1641
12,AT004,0,3,right,ID001,left,away,51,120690
12,AT004,1,3,left,ID022,right,away,-58,8007
12,AT004,2,0,left,ID001,left,towards,-15,8367
12,AT004,3,2,left,ID001,right,away,-21,4559
12,AT004,4,1,right,ID001,right,towards,30,4136
12,AT004,5,2,right,ID001,left,away,20,6031
12,AT004,6,0,right,ID001,left,away,9,4559
12,AT004,7,3,left,ID022,left,towards,-57,4767
12,AT004,8,3,right,ID001,right,towards,52,6909
12,AT004,9,2,right,ID022,right,towards,17,4375
12,AT004,10,1,left,ID022,left,towards,-26,5231
12,AT004,11,3,right,ID022,right,towards,59,4504
12,AT004,12,2,right,ID022,left,away,22,32951
12,AT004,13,1,right,ID022,right,towards,29,3951
12,AT004,14,0,left,ID001,right,away,-10,3415
12,AT004,15,0,right,ID001,right,towards,13,2849
12,AT004,16,0,left,ID022,left,towards,-11,3576
12,AT004,17,1,left,ID001,left,towards,-33,3600
12,AT004,18,1,left,ID022,right,away,-41,2936
12,AT004,19,1,right,ID022,left,away,33,3960
12,AT004,20,3,left,ID001,right,away,-54,4416
12,AT004,21,3,right,ID022,left,away,51,2872
12,AT004,22,2,right,ID001,right,towards,21,2304
12,AT004,23,2,left,ID022,right,away,-29,3056
12,AT004,24,0,right,ID022,left,away,7,3639
12,AT004,25,1,left,ID001,right,away,-29,3103
12,AT004,26,2,left,ID022,left,towards,-37,3119
12,AT004,27,0,left,ID022,right,away,-10,4519
12,AT004,28,0,right,ID022,right,towards,11,2607
12,AT004,29,3,left,ID001,left,towards,-55,4383
12,AT004,30,1,right,ID001,left,away,33,2495
12,AT004,31,2,left,ID001,left,towards,-31,3671
13,AT004,0,3,right,ID022,left,away,0,285576
13,AT004,1,3,left,ID022,right,away,-13,17925
13,AT004,2,0,left,ID001,right,away,-14,12413
13,AT004,3,0,right,ID001,left,away,7,4429
13,AT004,4,2,right,ID022,right,towards,-7,4498
13,AT004,5,1,right,ID022,left,away,7,2773
13,AT004,6,0,left,ID022,left,towards,-6,4004
13,AT004,7,3,right,ID001,left,away,8,3979
13,AT004,8,2,left,ID001,left,towards,-6,2113
13,AT004,9,2,right,ID022,left,away,7,2356
13,AT004,10,1,right,ID001,right,towards,6,2791
13,AT004,11,2,right,ID001,right,towards,6,3621
